route_no,passenger_count,population,traffic_volume,headway_minutes,vulnerability_index,traffic_volume_scaled,passenger_count_scaled,headway_minutes_scaled,vulnerability_index_scaled,population_scaled,priority_score,rank,bus_no
CWB379003050,457153.96,147195,457153.96,68.36428571428571,0.13549373280342403,0.2857781979594734,0.2857781979594734,0.9238416988416989,0.35303302968384875,0.7541308100100114,0.4669516425134098,55,305
CWB379001620,569562.24,162082,569562.24,49.70786516853933,0.15529176589627472,0.35710728406437003,0.35710728406437003,0.6717279076829639,0.4535228975886576,0.7279374893331761,0.4667559906673982,56,162
CWB379000170,723739.24,354904,723739.24,50.47402597402598,0.09195162635529608,0.45494086454789534,0.45494086454789534,0.6820814320814321,0.13202417972644762,0.38867178908808114,0.46145040202647647,57,17
CWB379002600,746243.1,266446,746243.1,29.645161290322584,0.1502105492294874,0.4692207713984631,0.4692207713984631,0.4006102877070619,0.42773191172423053,0.5443115258000778,0.4588588641329211,58,260
CWB379000120,764161.9,396492,764161.9,46.42176870748299,0.0918732282114141,0.4805912116195609,0.4805912116195609,0.6273211987497701,0.13162625034196104,0.31549869710794914,0.4585314614666816,59,12
CWB379001070,737707.32,312967,737707.32,40.12903225806452,0.1156447804401103,0.46380436091168703,0.46380436091168703,0.5422842197035745,0.25228470828829963,0.46245893822655365,0.45821382513921244,60,107
CWB379003070,422840.02,119228,422840.02,65.015625,0.151491260442178,0.26400416155523115,0.26400416155523115,0.878589527027027,0.4342324817547939,0.8033380780538787,0.4578774583194114,61,307
CWB379000550,576403.6,157099,576403.6,46.30882352941177,0.14688826790749782,0.36144849412927443,0.36144849412927443,0.6257949125596185,0.41086884206354257,0.7367049587314881,0.4567854590689915,62,55
CWB379000770,476443.38,170698,476443.38,53.62857142857143,0.18724296711150687,0.2980183701255586,0.2980183701255586,0.7247104247104248,0.6156992094707755,0.7127778432693881,0.4566008122914365,63,77
CWB379000640,544346.0,194957,544346.0,48.45180722891566,0.1699759434131629,0.34110622654261324,0.34110622654261324,0.6547541517421035,0.5280561126834298,0.6700947125983767,0.45542964880216935,64,64
CWB379000130,739093.48,396492,739093.48,48.037267080745345,0.0918732282114141,0.46468395382063615,0.46468395382063615,0.6491522578479101,0.13162625034196104,0.31549869710794914,0.4533533186069548,65,13
CWB379030060,687462.0,435160,687462.0,57.6822429906542,0.09000827281919294,0.4319210089322058,0.4319210089322058,0.7794897701439757,0.12216020287483459,0.2474632753351362,0.45201290720911574,66,3006
