위도,경도,정류장ID,정류장명,정류장번호
35.1476447,128.6575634,CWB379002692,블루빌아파트,519701
35.14162494,128.7071925,CWB379002693,자은본동교차로,518136
35.15136482,128.6633726,CWB379002694,중앙시장입구,630215
35.15149043,128.6631132,CWB379002695,중앙시장입구,630216
35.14993253,128.6603762,CWB379002696,중원쉼터,630217
35.14971803,128.6604608,CWB379002697,장난감도서관,630218
35.10078067,128.8220687,CWB379002700,용원삼거리,512905
35.10084503,128.821885,CWB379002701,용원삼거리,512904
35.10225168,128.8246836,CWB379002703,용재,518155
35.10158038,128.8396473,CWB379002707,구)검문소,630219
35.10351548,128.8373885,CWB379002711,가주동,500501
35.1120361,128.8384582,CWB379002713,가주동시내버스회차지,630220
35.1202,128.835746,CWB379002715,주포종점,630221
35.13322264,128.78389693,CWB379002723,부암마을,505301
35.14270973,128.7775578,CWB379002725,대장동종점,504201
35.12827366,128.7773937,CWB379002726,소사마을,504203
35.11749153,128.7817536,CWB379002732,마천산업단지,502803
35.112505,128.7809665,CWB379002734,정혜원,502805
35.11242292,128.7811467,CWB379002735,정혜원,502804
35.11269904,128.7825241,CWB379002739,영길,630222
35.1110211,128.7498716,CWB379002743,웅천동행정복지센터,514102
35.10483216,128.74253993,CWB379002747,제덕노인회관,516204
35.10125747,128.7454653,CWB379002750,괴정마을,516203
35.10111947,128.74576163,CWB379002751,괴정마을,516202
35.08557099,128.74627721,CWB379002753,수도마을,516201
35.10577397,128.75907036,CWB379002758,사도마을,502902
35.10145607,128.76332837,CWB379002760,와성마을,630223
35.11469672,128.7288154,CWB379002766,어은동,630224
35.15196251,128.6666996,CWB379002781,중앙시장,519810
35.10001202,128.8009804,CWB379002790,청천마을,519604
35.10001561,128.8012008,CWB379002791,청천마을,519603
35.09658943,128.8201612,CWB379002792,용원종점,512901
35.10492744,128.7424701,CWB379002793,제덕노인회관,516205
35.10585458,128.75910499,CWB379002794,사도마을,502901
35.25887602,128.60313221,CWB379002799,소계종점,630227
35.19813047,128.7143041,CWB379002800,유니온빌리지,208003
35.19792615,128.7150985,CWB379002801,유니온빌리지,208004
35.19538528,128.716471,CWB379002802,프리빌리지2차아파트,218901
35.19529289,128.7165975,CWB379002803,프리빌리지2차아파트,218902
35.24309863,128.5017924,CWB379002835,상곡시장,408802
35.24362388,128.50080837,CWB379002836,상곡시장,408803
35.2263555,128.5038479,CWB379002837,내서운동장,630238
35.22550662,128.5040882,CWB379002838,이미지아파트,401315
35.12988072,128.70571521,CWB379002839,대동다숲.마린푸르지오2단지,522320
35.13066931,128.70987014,CWB379002840,벽산솔렌스힐아파트,518201
35.08617668,128.8176156,CWB379002850,동방물류센터,630240
35.08291906,128.7854156,CWB379002857,한진해운,523201
35.06711193,128.43595735,CWB379002858,막개,323106
35.06719371,128.43590124,CWB379002859,막개,323105
