statsYm,admmCd,ctpvNm,sggNm,dongNm,tong,ban,totNmprCnt,maleNmprCnt,femlNmprCnt,male0AgeNmprCnt,male10AgeNmprCnt,male20AgeNmprCnt,male30AgeNmprCnt,male40AgeNmprCnt,male50AgeNmprCnt,male60AgeNmprCnt,male70AgeNmprCnt,male80AgeNmprCnt,male90AgeNmprCnt,male100AgeNmprCnt,feml0AgeNmprCnt,feml10AgeNmprCnt,feml20AgeNmprCnt,feml30AgeNmprCnt,feml40AgeNmprCnt,feml50AgeNmprCnt,feml60AgeNmprCnt,feml70AgeNmprCnt,feml80AgeNmprCnt,feml90AgeNmprCnt,feml100AgeNmprCnt
202604,4812125000,경상남도,창원시 의창구,동읍,19,1,312,159,153,2,6,6,12,8,26,51,35,12,1,0,1,8,7,8,11,21,51,22,20,4,0
202604,4812125000,경상남도,창원시 의창구,동읍,20,1,48,28,20,0,3,1,1,1,5,10,7,0,0,0,0,0,0,0,2,1,12,2,3,0,0
202604,4812125000,경상남도,창원시 의창구,동읍,20,2,65,30,35,1,1,1,1,3,6,8,7,2,0,0,1,1,0,2,1,4,8,10,7,1,0
202604,4812125000,경상남도,창원시 의창구,동읍,20,3,143,71,72,1,4,4,3,5,14,11,20,9,0,0,1,5,3,3,3,15,10,23,7,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,21,1,54,25,29,1,0,0,1,1,3,9,6,3,1,0,0,0,1,1,1,3,8,6,5,4,0
202604,4812125000,경상남도,창원시 의창구,동읍,21,2,127,67,60,1,5,1,8,7,15,18,10,2,0,0,1,2,0,5,5,7,20,9,9,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,21,3,85,41,44,0,0,0,3,1,5,12,16,4,0,0,0,0,0,2,5,8,12,11,5,1,0
202604,4812125000,경상남도,창원시 의창구,동읍,22,1,194,109,85,2,2,7,4,6,24,34,20,9,1,0,0,3,1,2,4,12,25,16,15,7,0
202604,4812125000,경상남도,창원시 의창구,동읍,22,2,52,24,28,0,2,1,1,0,7,4,5,3,1,0,1,1,0,2,0,5,3,10,4,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,23,1,90,39,51,0,0,5,1,3,8,10,8,4,0,0,0,3,3,2,4,5,9,14,9,2,0
