정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
NJB1686,도촌,35.07768,126.8366,2025-10-31,2686,36040,전라남도 나주시,나주BIS
NJB1687,예술의거리입구,35.15104,126.9163,2025-10-31,2687,36040,전라남도 나주시,나주BIS
NJB1688,충파(남),35.14807,126.9128,2025-10-31,2688,36040,전라남도 나주시,나주BIS
NJB1689,KBC방송국,35.14364,126.9071,2025-10-31,2689,36040,전라남도 나주시,나주BIS
NJB1690,상지석,35.08662,126.8404,2025-10-31,2690,36040,전라남도 나주시,나주BIS
NJB1691,하지석,35.08364,126.8361,2025-10-31,2691,36040,전라남도 나주시,나주BIS
NJB1692,어전,35.05864,126.8353,2025-10-31,2692,36040,전라남도 나주시,나주BIS
NJB1693,무등도서관,35.17444,126.9263,2025-10-31,2693,36040,전라남도 나주시,나주BIS
NJB1694,문흥지구입구(동),35.19089,126.9347,2025-10-31,2694,36040,전라남도 나주시,나주BIS
NJB1695,도산파출소,35.12876,126.7854,2025-10-31,2695,36040,전라남도 나주시,나주BIS
NJB1696,수북사거리,35.30201,126.9304,2025-10-31,2696,36040,전라남도 나주시,나주BIS
NJB1697,만화동,35.29076,126.9358,2025-10-31,2697,36040,전라남도 나주시,나주BIS
NJB1698,개동리,35.28116,126.9368,2025-10-31,2698,36040,전라남도 나주시,나주BIS
NJB1699,봉산지서,35.26637,126.9614,2025-10-31,2699,36040,전라남도 나주시,나주BIS
NJB1700,유산리,35.25506,126.9566,2025-10-31,2700,36040,전라남도 나주시,나주BIS
NJB1701,농산물공판장,35.18469,126.9322,2025-10-31,2701,36040,전라남도 나주시,나주BIS
NJB1702,무등도서관,35.17565,126.927,2025-10-31,2702,36040,전라남도 나주시,나주BIS
NJB1703,대인시장(북),35.1538,126.9197,2025-10-31,2703,36040,전라남도 나주시,나주BIS
NJB1704,중흥시장,35.16097,126.9103,2025-10-31,2704,36040,전라남도 나주시,나주BIS
NJB1705,북구보건소,35.17274,126.91,2025-10-31,2705,36040,전라남도 나주시,나주BIS
NJB1706,일곡대림2차아파트,35.20986,126.9012,2025-10-31,2706,36040,전라남도 나주시,나주BIS
NJB1707,우치공원,35.22547,126.9008,2025-10-31,2707,36040,전라남도 나주시,나주BIS
NJB1708,대전파출소(남),35.2768,126.8885,2025-10-31,2708,36040,전라남도 나주시,나주BIS
NJB1709,성산리,35.28895,126.9139,2025-10-31,2709,36040,전라남도 나주시,나주BIS
NJB1710,포백,35.30455,126.9259,2025-10-31,2710,36040,전라남도 나주시,나주BIS
NJB1711,행정리,35.28766,126.9088,2025-10-31,2711,36040,전라남도 나주시,나주BIS
NJB1712,응기,35.2516,126.8909,2025-10-31,2712,36040,전라남도 나주시,나주BIS
NJB1713,일곡청솔4차아파트,35.20686,126.9011,2025-10-31,2713,36040,전라남도 나주시,나주BIS
NJB1714,양일로입구,35.20237,126.902,2025-10-31,2714,36040,전라남도 나주시,나주BIS
NJB1715,서산초교,35.1886,126.9052,2025-10-31,2715,36040,전라남도 나주시,나주BIS
NJB1716,용전사거리(남),35.23625,126.8938,2025-10-31,2716,36040,전라남도 나주시,나주BIS
NJB1717,노안동,35.23478,126.9557,2025-10-31,2717,36040,전라남도 나주시,나주BIS
NJB1718,유산리,35.25496,126.9571,2025-10-31,2718,36040,전라남도 나주시,나주BIS
NJB1719,죽림,35.26043,126.96,2025-10-31,2719,36040,전라남도 나주시,나주BIS
NJB1720,봉산지서,35.26646,126.9614,2025-10-31,2720,36040,전라남도 나주시,나주BIS
NJB1721,탄금리,35.26939,126.9587,2025-10-31,2721,36040,전라남도 나주시,나주BIS
NJB1722,월곡일신아파트,35.16753,126.8088,2025-10-31,2722,36040,전라남도 나주시,나주BIS
NJB1723,송정한전,35.14924,126.7884,2025-10-31,2723,36040,전라남도 나주시,나주BIS
NJB1724,목골고개,35.16091,126.7078,2025-10-31,2724,36040,전라남도 나주시,나주BIS
NJB1725,녹서,35.20053,126.6653,2025-10-31,2725,36040,전라남도 나주시,나주BIS
NJB1726,삼서우체국,35.22989,126.6464,2025-10-31,2726,36040,전라남도 나주시,나주BIS
NJB1727,보강,35.21268,126.6585,2025-10-31,2727,36040,전라남도 나주시,나주BIS
NJB1728,패밀리농장,35.20555,126.6635,2025-10-31,2728,36040,전라남도 나주시,나주BIS
NJB1729,삼도초교,35.16281,126.7003,2025-10-31,2729,36040,전라남도 나주시,나주BIS
NJB1730,도산동,35.12693,126.7841,2025-10-31,2730,36040,전라남도 나주시,나주BIS
NJB1731,월곡일신아파트,35.16798,126.809,2025-10-31,2731,36040,전라남도 나주시,나주BIS
NJB1732,복수,35.08921,126.8559,2025-10-31,2732,36040,전라남도 나주시,나주BIS
